Date,Close
21/05/2015 ,25.68
22/05/2015 ,28.31
26/05/2015 ,29.65
27/05/2015 ,27.5
28/05/2015 ,27.45
29/05/2015 ,27.2
01/06/2015 ,27.33
02/06/2015 ,26.95
03/06/2015 ,27.44
04/06/2015 ,26.78
05/06/2015 ,27.39
08/06/2015 ,26.98
09/06/2015 ,28.34
10/06/2015 ,28.1
11/06/2015 ,30.73
12/06/2015 ,33.63
15/06/2015 ,35.5
16/06/2015 ,38.11
17/06/2015 ,38.63
18/06/2015 ,35.55
19/06/2015 ,35.52
22/06/2015 ,36.94
23/06/2015 ,35.43
24/06/2015 ,35.96
25/06/2015 ,34.84
26/06/2015 ,33.52
29/06/2015 ,31.32
30/06/2015 ,33.95
01/07/2015 ,31.11
02/07/2015 ,31.31
06/07/2015 ,30.53
07/07/2015 ,30.76
08/07/2015 ,29.19
09/07/2015 ,29.06
10/07/2015 ,29.6
13/07/2015 ,30.42
14/07/2015 ,30.86
15/07/2015 ,29.34
16/07/2015 ,29.39
17/07/2015 ,32.27
20/07/2015 ,33.75
21/07/2015 ,33.22
22/07/2015 ,32.14
23/07/2015 ,33.11
24/07/2015 ,33.57
27/07/2015 ,32.87
28/07/2015 ,34.06
29/07/2015 ,34.16
30/07/2015 ,38.13
31/07/2015 ,37.39
03/08/2015 ,40.36
04/08/2015 ,38.41
05/08/2015 ,38.45
06/08/2015 ,36.28
07/08/2015 ,35.16
10/08/2015 ,33.47
11/08/2015 ,35.14
12/08/2015 ,34.73
13/08/2015 ,35.31
14/08/2015 ,34.56
17/08/2015 ,34.41
18/08/2015 ,32.6
19/08/2015 ,31.1
20/08/2015 ,29.22
21/08/2015 ,27.77
24/08/2015 ,26.28
25/08/2015 ,26.93
26/08/2015 ,28.22
27/08/2015 ,28.51
28/08/2015 ,28
31/08/2015 ,27.54
01/09/2015 ,26.6
02/09/2015 ,26.7
03/09/2015 ,27.15
04/09/2015 ,26.81
08/09/2015 ,27.14
09/09/2015 ,26.01
10/09/2015 ,25.77
11/09/2015 ,26.36
14/09/2015 ,27.21
15/09/2015 ,28.11
16/09/2015 ,28.91
17/09/2015 ,35.55
18/09/2015 ,35.66
21/09/2015 ,34.83
22/09/2015 ,33.66
23/09/2015 ,33.5
24/09/2015 ,33.47
25/09/2015 ,33.91
28/09/2015 ,33.05
29/09/2015 ,33.64
30/09/2015 ,35.2
01/10/2015 ,35.07
02/10/2015 ,35.81
05/10/2015 ,36.76
06/10/2015 ,36.21
07/10/2015 ,37.33
08/10/2015 ,38.24
09/10/2015 ,37.02
12/10/2015 ,34.31
13/10/2015 ,33.12
14/10/2015 ,33.64
15/10/2015 ,34.14
16/10/2015 ,34.33
19/10/2015 ,33.36
20/10/2015 ,31.5
21/10/2015 ,31.95
22/10/2015 ,32.01
23/10/2015 ,31.66
26/10/2015 ,31.07
27/10/2015 ,31.04
28/10/2015 ,31.12
29/10/2015 ,31.59
30/10/2015 ,32.22
02/11/2015 ,30.96
03/11/2015 ,31.44
04/11/2015 ,31.75
05/11/2015 ,31.62
06/11/2015 ,31.54
09/11/2015 ,30.23
10/11/2015 ,28.59
11/11/2015 ,28.18
12/11/2015 ,28.86
13/11/2015 ,28.33
16/11/2015 ,27.35
17/11/2015 ,26.39
18/11/2015 ,28
19/11/2015 ,29.45
20/11/2015 ,28.23
23/11/2015 ,28.87
24/11/2015 ,26.95
25/11/2015 ,26.44
27/11/2015 ,26.71
30/11/2015 ,26.34
01/12/2015 ,26.28
02/12/2015 ,26.41
03/12/2015 ,26.83
04/12/2015 ,27.12
07/12/2015 ,26.88
08/12/2015 ,26.48
09/12/2015 ,24.81
10/12/2015 ,24.96
11/12/2015 ,24.76
14/12/2015 ,24.56
15/12/2015 ,25.36
16/12/2015 ,26.21
17/12/2015 ,26.53
18/12/2015 ,25.31
21/12/2015 ,24.45
22/12/2015 ,24.66
23/12/2015 ,24.92
24/12/2015 ,25.34
28/12/2015 ,24.84
29/12/2015 ,25.18
30/12/2015 ,25.98
31/12/2015 ,25.8
04/01/2016 ,25.72
05/01/2016 ,25.31
06/01/2016 ,25.3
07/01/2016 ,24.67
08/01/2016 ,24.93
11/01/2016 ,23.87
12/01/2016 ,23.74
13/01/2016 ,21.38
14/01/2016 ,20.64
15/01/2016 ,19.89
19/01/2016 ,20.3
20/01/2016 ,20.53
21/01/2016 ,22.79
22/01/2016 ,23.07
25/01/2016 ,23.13
26/01/2016 ,23.09
27/01/2016 ,22
28/01/2016 ,22.5
29/01/2016 ,23.22
01/02/2016 ,23.53
02/02/2016 ,22.62
03/02/2016 ,23
04/02/2016 ,23.48
05/02/2016 ,21.87
08/02/2016 ,20.38
09/02/2016 ,19.85
10/02/2016 ,19.97
11/02/2016 ,19.37
12/02/2016 ,19.33
16/02/2016 ,20.5
17/02/2016 ,22.37
18/02/2016 ,20.59
19/02/2016 ,20.57
22/02/2016 ,21.21
23/02/2016 ,20.04
24/02/2016 ,21.02
25/02/2016 ,21.66
26/02/2016 ,22
29/02/2016 ,22.38
01/03/2016 ,22.69
02/03/2016 ,24.36
03/03/2016 ,24.27
04/03/2016 ,25.16
07/03/2016 ,25.87
08/03/2016 ,26.79
09/03/2016 ,26.07
10/03/2016 ,25.39
11/03/2016 ,26.7
14/03/2016 ,26.58
15/03/2016 ,25.83
16/03/2016 ,26.8
17/03/2016 ,27.15
18/03/2016 ,28.49
21/03/2016 ,28.04
22/03/2016 ,27.51
23/03/2016 ,26.2
24/03/2016 ,26.99
28/03/2016 ,27.59
29/03/2016 ,27.97
30/03/2016 ,27.77
31/03/2016 ,28.21
01/04/2016 ,28.45
04/04/2016 ,29.3
05/04/2016 ,28.75
06/04/2016 ,29.5
07/04/2016 ,29.21
08/04/2016 ,29.55
11/04/2016 ,29.52
12/04/2016 ,29.77
13/04/2016 ,29.8
14/04/2016 ,30.96
15/04/2016 ,30.97
18/04/2016 ,31.53
19/04/2016 ,32.05
20/04/2016 ,31.5
21/04/2016 ,31.53
22/04/2016 ,31.81
25/04/2016 ,31.13
26/04/2016 ,31.47
27/04/2016 ,31.83
28/04/2016 ,31.75
29/04/2016 ,31.85
02/05/2016 ,31.41
03/05/2016 ,30.74
04/05/2016 ,29.61
05/05/2016 ,28.52
06/05/2016 ,27.72
09/05/2016 ,26.46
10/05/2016 ,26.63
11/05/2016 ,26.27
12/05/2016 ,26.95
13/05/2016 ,26.29
16/05/2016 ,26.16
17/05/2016 ,26.8
18/05/2016 ,26.34
19/05/2016 ,25.97
20/05/2016 ,26.1
23/05/2016 ,26.82
24/05/2016 ,27.06
25/05/2016 ,28.2
26/05/2016 ,27.76
27/05/2016 ,28.57
31/05/2016 ,29.29
01/06/2016 ,31.07
02/06/2016 ,29.84
03/06/2016 ,29.58
06/06/2016 ,30
07/06/2016 ,29.86
08/06/2016 ,30.09
09/06/2016 ,29.41
10/06/2016 ,28.28
13/06/2016 ,27.99
14/06/2016 ,29.05
15/06/2016 ,28.66
16/06/2016 ,28.37
17/06/2016 ,28.94
20/06/2016 ,29.77
21/06/2016 ,29.87
22/06/2016 ,29.81
23/06/2016 ,31.2
24/06/2016 ,29.07
27/06/2016 ,27.16
28/06/2016 ,28.54
29/06/2016 ,30.32
30/06/2016 ,30.76
01/07/2016 ,30.83
05/07/2016 ,30.61
06/07/2016 ,30.65
07/07/2016 ,30.37
08/07/2016 ,31
11/07/2016 ,31.85
12/07/2016 ,32.49
13/07/2016 ,31.99
14/07/2016 ,32.1
15/07/2016 ,32.32
18/07/2016 ,32.2
19/07/2016 ,33.26
20/07/2016 ,33.09
21/07/2016 ,32.73
22/07/2016 ,32.87
25/07/2016 ,32.6
26/07/2016 ,32.55
27/07/2016 ,33.21
28/07/2016 ,34.27
29/07/2016 ,34.27
01/08/2016 ,34.05
02/08/2016 ,33.53
03/08/2016 ,36.79
04/08/2016 ,36.85
05/08/2016 ,37.01
08/08/2016 ,38.31
09/08/2016 ,38.79
10/08/2016 ,39.29
11/08/2016 ,39.91
12/08/2016 ,39.38
15/08/2016 ,39.08
16/08/2016 ,38.37
17/08/2016 ,38.74
18/08/2016 ,40.25
19/08/2016 ,42.41
22/08/2016 ,42.47
23/08/2016 ,41.76
24/08/2016 ,40.94
25/08/2016 ,40.63
26/08/2016 ,41.52
29/08/2016 ,41.39
30/08/2016 ,41.29
31/08/2016 ,41.36
01/09/2016 ,40.67
02/09/2016 ,42.42
06/09/2016 ,43.19
07/09/2016 ,42.78
08/09/2016 ,43.21
09/09/2016 ,41.04
12/09/2016 ,41.63
13/09/2016 ,40.57
14/09/2016 ,40.9
15/09/2016 ,41.77
16/09/2016 ,41.49
19/09/2016 ,42.95
20/09/2016 ,42.46
21/09/2016 ,44.5
22/09/2016 ,43.86
23/09/2016 ,43.35
26/09/2016 ,43.2
27/09/2016 ,43.87
28/09/2016 ,42.75
29/09/2016 ,42.96
30/09/2016 ,42.92
03/10/2016 ,43.03
04/10/2016 ,43.41
05/10/2016 ,43.77
06/10/2016 ,43.68
07/10/2016 ,44.36
10/10/2016 ,43.73
11/10/2016 ,42.3
12/10/2016 ,42.39
13/10/2016 ,42.09
14/10/2016 ,42.82
17/10/2016 ,42.02
18/10/2016 ,42.48
19/10/2016 ,43.39
20/10/2016 ,43.15
21/10/2016 ,43.48
24/10/2016 ,43.86
25/10/2016 ,43.49
26/10/2016 ,43.03
27/10/2016 ,41.35
28/10/2016 ,40.84
31/10/2016 ,41.45
01/11/2016 ,40.78
02/11/2016 ,43.57
03/11/2016 ,40.41
04/11/2016 ,39.15
07/11/2016 ,40.15
08/11/2016 ,41.35
09/11/2016 ,40.58
10/11/2016 ,40.09
11/11/2016 ,39.66
14/11/2016 ,37.9
15/11/2016 ,39.92
16/11/2016 ,40.36
17/11/2016 ,42.02
18/11/2016 ,44.05
21/11/2016 ,44.89
22/11/2016 ,42.96
23/11/2016 ,43.05
25/11/2016 ,43.27
28/11/2016 ,42.49
29/11/2016 ,42.59
30/11/2016 ,41.67
01/12/2016 ,39.67
02/12/2016 ,39.05
05/12/2016 ,40.57
06/12/2016 ,40.9
07/12/2016 ,40.72
08/12/2016 ,42.63
09/12/2016 ,42.22
12/12/2016 ,42.04
13/12/2016 ,42.27
14/12/2016 ,41.75
15/12/2016 ,42.41
16/12/2016 ,42.05
19/12/2016 ,41.87
20/12/2016 ,41.42
21/12/2016 ,40.8
22/12/2016 ,40.17
23/12/2016 ,41.34
27/12/2016 ,43.64
28/12/2016 ,43.22
29/12/2016 ,43.1
30/12/2016 ,42.87
03/01/2017 ,42.82
04/01/2017 ,44.14
05/01/2017 ,47.68
06/01/2017 ,46.9
09/01/2017 ,47.18
10/01/2017 ,47.87
11/01/2017 ,48.33
12/01/2017 ,48.58
13/01/2017 ,48.1
17/01/2017 ,49.52
18/01/2017 ,49.98
19/01/2017 ,50.66
20/01/2017 ,50.09
23/01/2017 ,49.44
24/01/2017 ,49.42
25/01/2017 ,51.36
26/01/2017 ,51.01
27/01/2017 ,51.54
30/01/2017 ,50.7
31/01/2017 ,50.82
01/02/2017 ,51.19
02/02/2017 ,52.32
03/02/2017 ,52.12
06/02/2017 ,52.68
07/02/2017 ,53.13
08/02/2017 ,53.37
09/02/2017 ,54.61
10/02/2017 ,55.22
13/02/2017 ,56.05
14/02/2017 ,56.05
15/02/2017 ,60.61
16/02/2017 ,60.97
17/02/2017 ,61.52
21/02/2017 ,63.08
22/02/2017 ,63.59
23/02/2017 ,62.73
24/02/2017 ,61.75
27/02/2017 ,59.93
28/02/2017 ,59.21
01/03/2017 ,59.65
02/03/2017 ,59.67
03/03/2017 ,60.29
06/03/2017 ,59.32
07/03/2017 ,60.13
08/03/2017 ,60.91
09/03/2017 ,62.39
10/03/2017 ,64.15
13/03/2017 ,64.93
14/03/2017 ,63.83
15/03/2017 ,64.84
16/03/2017 ,64.99
17/03/2017 ,66.99
20/03/2017 ,68.86
21/03/2017 ,67.19
22/03/2017 ,66.71
23/03/2017 ,67.58
24/03/2017 ,68.98
27/03/2017 ,70.4
28/03/2017 ,72.37
29/03/2017 ,72.72
30/03/2017 ,69.05
31/03/2017 ,68.09
03/04/2017 ,69.23
04/04/2017 ,68.53
05/04/2017 ,67.89
